REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Louisiana,2010,43,326,39,16904
States,Maine,2010,43,22,30,6501
States,Maryland,2010,43,146,20,11517
States,Massachusetts,2010,43,228,52,29092
States,Michigan,2010,43,152,51,16496
States,Minnesota,2010,43,42,18,6586
States,Mississippi,2010,43,538,47,17090
States,Missouri,2010,43,91,31,9482
States,Montana,2010,43,1,7,2748
States,Nebraska,2010,43,60,14,2916
States,Nevada,2010,43,241,34,11238
States,New Hampshire,2010,43,10,29,5593
States,New Jersey,2010,43,216,23,7734
States,New Mexico,2010,43,190,24,8068
States,New York,2010,43,53,98,14764
States,North Carolina,2010,43,136,74,26606
States,North Dakota,2010,43,18,20,5306
States,Ohio,2010,43,57,49,17298
States,Oklahoma,2010,43,48,18,2873
States,Oregon,2010,43,52,22,6917
States,Pennsylvania,2010,43,133,65,18442
States,Rhode Island,2010,43,22,21,6818
States,South Carolina,2010,43,31,22,7410
States,South Dakota,2010,43,44,19,5491
States,Tennessee,2010,43,51,52,12698
States,Texas,2010,43,1117,96,50622
States,Utah,2010,43,46,15,6085
States,Vermont,2010,43,47,11,3255
States,Virginia,2010,43,763,83,60125
States,Washington,2010,43,30,15,3141
States,West Virginia,2010,43,173,32,9549
States,Wisconsin,2010,43,53,46,5245
States,Wyoming,2010,43,22,27,4487
States,New York City,2010,43,1207,41,92678
States,Alabama,2010,44,342,35,12069
States,Alaska,2010,44,13,8,1901
States,Arizona,2010,44,312,55,26313
States,Arkansas,2010,44,57,19,5228
States,California,2010,44,887,131,35153
States,Colorado,2010,44,193,12,19862
States,Connecticut,2010,44,19,20,4789
States,Delaware,2010,44,9,14,4048
States,District of Columbia,2010,44,95,4,3176
States,Florida,2010,44,339,109,27677
States,Georgia,2010,44,1033,62,38891
States,Hawaii,2010,44,27,18,1522
States,Idaho,2010,44,88,13,4816
States,Illinois,2010,44,625,79,41966
States,Indiana,2010,44,107,42,12704
States,Iowa,2010,44,18,10,5017
States,Kansas,2010,44,49,43,10181
States,Kentucky,2010,44,38,15,13118
States,Louisiana,2010,44,492,39,17513
States,Maine,2010,44,9,29,5100
States,Maryland,2010,44,147,20,10111
States,Massachusetts,2010,44,225,53,27695
States,Michigan,2010,44,138,51,15983
States,Minnesota,2010,44,50,18,6205
States,Mississippi,2010,44,550,45,16390
States,Missouri,2010,44,100,31,8564
States,Montana,2010,44,1,7,2468
States,Nebraska,2010,44,11,14,2920
States,Nevada,2010,44,204,35,11541
States,New Hampshire,2010,44,17,30,5775
States,New Jersey,2010,44,113,25,6179
States,New Mexico,2010,44,151,20,6345
States,New York,2010,44,80,104,15170
States,North Carolina,2010,44,169,70,26003
States,North Dakota,2010,44,38,19,5324
States,Ohio,2010,44,149,48,17913
States,Oklahoma,2010,44,49,15,3009
States,Oregon,2010,44,57,22,7452
States,Pennsylvania,2010,44,181,66,18256
States,Rhode Island,2010,44,34,21,6412
States,South Carolina,2010,44,32,22,7186
States,South Dakota,2010,44,43,19,5514
States,Tennessee,2010,44,64,51,12119
States,Texas,2010,44,1218,99,51527
States,Utah,2010,44,54,23,8284
States,Vermont,2010,44,34,10,2714
States,Virginia,2010,44,729,84,57607
States,Washington,2010,44,24,15,3052
States,West Virginia,2010,44,196,34,10653
States,Wisconsin,2010,44,60,49,5472
States,Wyoming,2010,44,25,28,4412
States,New York City,2010,44,1325,42,87454
States,Alabama,2010,45,419,34,12102
States,Alaska,2010,45,19,8,1996
States,Arizona,2010,45,239,54,25282
States,Arkansas,2010,45,58,17,4844
States,California,2010,45,906,126,32998
States,Colorado,2010,45,139,12,19332
States,Connecticut,2010,45,14,19,4381
States,Delaware,2010,45,25,12,3146
States,District of Columbia,2010,45,69,4,2962
States,Florida,2010,45,315,113,26980
States,Georgia,2010,45,1390,62,40726
States,Hawaii,2010,45,19,18,1618
States,Idaho,2010,45,62,13,4149
States,Illinois,2010,45,651,80,41894
States,Indiana,2010,45,97,43,12898
States,Iowa,2010,45,21,10,5016
States,Kansas,2010,45,74,43,10207
States,Kentucky,2010,45,34,15,15247
States,Louisiana,2010,45,463,44,22198
States,Maine,2010,45,22,31,6169
States,Maryland,2010,45,128,21,9004
States,Massachusetts,2010,45,187,54,25514
States,Michigan,2010,45,139,53,17232
States,Minnesota,2010,45,45,16,5487
States,Mississippi,2010,45,649,44,16510
States,Missouri,2010,45,106,31,8662
States,Montana,2010,45,6,6,2460
States,Nebraska,2010,45,105,16,3546
States,Nevada,2010,45,75,33,9314
States,New Hampshire,2010,45,16,29,5256
States,New Jersey,2010,45,169,25,7671
States,New Mexico,2010,45,186,24,7823
States,New York,2010,45,78,105,15453
States,North Carolina,2010,45,115,72,24116
States,North Dakota,2010,45,43,18,5672
States,Ohio,2010,45,86,44,16602
States,Oklahoma,2010,45,76,16,2952
States,Oregon,2010,45,54,20,6965
States,Pennsylvania,2010,45,184,63,17799
States,Rhode Island,2010,45,30,21,6284
States,South Carolina,2010,45,32,21,6261
States,South Dakota,2010,45,39,18,5246
States,Tennessee,2010,45,76,53,12801
States,Texas,2010,45,1310,97,52030
States,Utah,2010,45,40,16,6025
States,Vermont,2010,45,33,11,2928
States,Virginia,2010,45,888,88,62905
States,Washington,2010,45,40,18,3748
States,West Virginia,2010,45,201,34,9716
States,Wisconsin,2010,45,55,46,5320
States,Wyoming,2010,45,23,27,4964
States,New York City,2010,45,1557,42,89571
States,Alabama,2010,46,434,33,12286
States,Alaska,2010,46,18,7,1870
States,Arizona,2010,46,284,55,25897
States,Arkansas,2010,46,74,18,4760
States,California,2010,46,1020,131,36175
States,Colorado,2010,46,137,9,19683
States,Connecticut,2010,46,22,19,3555
States,Delaware,2010,46,12,11,3070
States,District of Columbia,2010,46,52,4,3282
States,Florida,2010,46,377,111,30459
States,Georgia,2010,46,1938,62,42545
States,Hawaii,2010,46,23,18,1753
States,Idaho,2010,46,98,13,5003
States,Illinois,2010,46,661,79,40492
States,Indiana,2010,46,104,42,12670
States,Iowa,2010,46,21,9,4337
States,Kansas,2010,46,63,44,10574
States,Kentucky,2010,46,78,15,16839
States,Louisiana,2010,46,539,37,19147
States,Maine,2010,46,33,31,6342
States,Maryland,2010,46,156,20,10399
States,Massachusetts,2010,46,236,51,29372
States,Michigan,2010,46,109,49,16629
States,Minnesota,2010,46,44,18,6261
States,Mississippi,2010,46,764,45,17108
States,Missouri,2010,46,101,31,8391
States,Montana,2010,46,3,6,2729
States,Nebraska,2010,46,85,16,3508
States,Nevada,2010,46,294,34,11167
States,New Hampshire,2010,46,16,31,5729
States,New Jersey,2010,46,158,24,7393
States,New Mexico,2010,46,228,24,7921
States,New York,2010,46,79,107,15692
States,North Carolina,2010,46,122,75,25177
States,North Dakota,2010,46,30,16,4657
States,Ohio,2010,46,95,45,17817
States,Oklahoma,2010,46,103,16,3074
States,Oregon,2010,46,44,19,6688
States,Pennsylvania,2010,46,170,60,17964
States,Rhode Island,2010,46,35,21,6942
States,South Carolina,2010,46,33,21,7238
States,South Dakota,2010,46,59,19,5892
States,Tennessee,2010,46,86,51,12712
States,Texas,2010,46,1121,95,49906
States,Utah,2010,46,53,14,5838
States,Vermont,2010,46,53,11,2960
States,Virginia,2010,46,898,84,58600
States,Washington,2010,46,44,16,3305
States,West Virginia,2010,46,224,36,11211
States,Wisconsin,2010,46,59,47,5249
States,Wyoming,2010,46,36,28,4834
States,New York City,2010,46,1810,43,93936
States,Alabama,2010,47,360,33,8418
States,Alaska,2010,47,10,6,1533
States,Arizona,2010,47,251,54,22138
States,Arkansas,2010,47,53,17,2616
States,California,2010,47,729,134,23060
States,Colorado,2010,47,108,11,14316
States,Connecticut,2010,47,11,16,1535
States,Delaware,2010,47,12,12,2384
States,District of Columbia,2010,47,60,4,1799
States,Florida,2010,47,337,113,21394
States,Georgia,2010,47,1801,61,32966
States,Hawaii,2010,47,128,18,8131
States,Idaho,2010,47,99,13,3226
States,Illinois,2010,47,622,78,34238
States,Indiana,2010,47,72,44,9056
States,Iowa,2010,47,8,8,1499
States,Kansas,2010,47,61,43,6850
States,Kentucky,2010,47,63,15,11675
States,Louisiana,2010,47,433,41,14793
States,Maine,2010,47,27,31,4372
States,Maryland,2010,47,128,19,6360
States,Massachusetts,2010,47,198,50,20666
States,Michigan,2010,47,92,52,10758
States,Minnesota,2010,47,47,18,4269
States,Mississippi,2010,47,786,46,16246
States,Missouri,2010,47,78,30,5516
States,Montana,2010,47,10,6,1862
States,Nebraska,2010,47,15,15,2440
States,Nevada,2010,47,299,34,9639
States,New Hampshire,2010,47,8,30,3899
States,New Jersey,2010,47,143,25,5915
States,New Mexico,2010,47,194,24,6514
States,New York,2010,47,58,104,10561
States,North Carolina,2010,47,102,77,16140
States,North Dakota,2010,47,27,18,4572
States,Ohio,2010,47,48,42,10561
States,Oklahoma,2010,47,64,16,2413
States,Oregon,2010,47,25,18,2350
States,Pennsylvania,2010,47,144,67,12991
States,Rhode Island,2010,47,31,21,4572
States,South Carolina,2010,47,23,23,4483
States,South Dakota,2010,47,37,18,4148
States,Tennessee,2010,47,65,53,7909
States,Texas,2010,47,964,90,37096
States,Utah,2010,47,37,23,4976
States,Vermont,2010,47,46,11,2371
States,Virginia,2010,47,987,87,60654
States,Washington,2010,47,21,14,1121
States,West Virginia,2010,47,133,33,7892
States,Wisconsin,2010,47,36,50,3680
States,Wyoming,2010,47,17,29,3399
States,New York City,2010,47,1971,43,84555
States,Alabama,2010,48,467,35,10517
States,Alaska,2010,48,8,8,1740
States,Arizona,2010,48,371,56,26085
States,Arkansas,2010,48,62,18,4451
States,California,2010,48,939,135,36028
States,Colorado,2010,48,168,11,19771
States,Connecticut,2010,48,19,19,4289
States,Delaware,2010,48,11,13,4074
States,District of Columbia,2010,48,135,4,3246
States,Florida,2010,48,487,111,28620
States,Georgia,2010,48,1315,62,37768
States,Hawaii,2010,48,34,18,1732
States,Idaho,2010,48,86,13,4774
States,Illinois,2010,48,659,79,40646
States,Indiana,2010,48,109,43,12286
States,Iowa,2010,48,26,10,3142
States,Kansas,2010,48,66,42,9174
States,Kentucky,2010,48,111,14,16482
States,Louisiana,2010,48,443,40,16624
States,Maine,2010,48,23,31,6610
States,Maryland,2010,48,167,20,8962
States,Massachusetts,2010,48,260,54,28787
States,Michigan,2010,48,88,49,15586
States,Minnesota,2010,48,51,18,5962
States,Mississippi,2010,48,829,44,16970
States,Missouri,2010,48,132,30,8422
States,Montana,2010,48,1,6,2628
States,Nebraska,2010,48,99,15,3516
States,Nevada,2010,48,325,34,11244
States,New Hampshire,2010,48,7,29,5043
States,New Jersey,2010,48,144,24,5536
States,New Mexico,2010,48,234,25,8197
States,New York,2010,48,244,105,15007
States,North Carolina,2010,48,170,77,25844
States,North Dakota,2010,48,18,17,5186
States,Ohio,2010,48,59,50,16878
States,Oklahoma,2010,48,64,16,2984
States,Oregon,2010,48,27,20,3759
States,Pennsylvania,2010,48,217,65,17952
States,Rhode Island,2010,48,51,21,6660
States,South Carolina,2010,48,37,22,7258
States,South Dakota,2010,48,62,19,5600
States,Tennessee,2010,48,106,54,13155
States,Texas,2010,48,1273,93,49607
States,Utah,2010,48,66,22,7873
States,Vermont,2010,48,52,12,3301
States,Virginia,2010,48,970,88,61726
States,Washington,2010,48,35,17,3565
States,West Virginia,2010,48,159,38,11434
States,Wisconsin,2010,48,71,49,5587
States,Wyoming,2010,48,29,28,4884
States,New York City,2010,48,2411,41,94844
States,Alabama,2010,49,656,37,11289
States,Alaska,2010,49,14,8,1755
States,Arizona,2010,49,517,53,24065
States,Arkansas,2010,49,44,17,4311
States,California,2010,49,1072,135,35077
States,Colorado,2010,49,154,12,19024
States,Connecticut,2010,49,23,11,3512
States,Delaware,2010,49,9,10,2492
States,District of Columbia,2010,49,100,4,3067
States,Florida,2010,49,442,111,26353
States,Georgia,2010,49,1685,62,37531
States,Hawaii,2010,49,42,18,1734
States,Idaho,2010,49,81,13,4702
States,Illinois,2010,49,732,79,39506
States,Indiana,2010,49,112,42,11790
States,Iowa,2010,49,28,10,2934
States,Kansas,2010,49,86,43,10381
States,Kentucky,2010,49,90,15,15032
States,Louisiana,2010,49,492,40,17541
States,Maine,2010,49,26,31,5974
States,Maryland,2010,49,153,20,9864
States,Massachusetts,2010,49,272,54,28114
States,Michigan,2010,49,85,52,15087
States,Minnesota,2010,49,37,17,6332
States,Mississippi,2010,49,878,46,16447
States,Missouri,2010,49,113,31,8246
States,Montana,2010,49,1,6,2782
States,Nebraska,2010,49,91,16,3696
States,Nevada,2010,49,394,35,12002
States,New Hampshire,2010,49,12,30,4858
States,New Jersey,2010,49,183,24,6896
States,New Mexico,2010,49,200,25,8605
States,New York,2010,49,303,103,14009
States,North Carolina,2010,49,132,75,21512
States,North Dakota,2010,49,11,18,4631
States,Ohio,2010,49,55,50,16060
States,Oklahoma,2010,49,51,15,2183
States,Oregon,2010,49,33,19,3367
States,Pennsylvania,2010,49,203,61,16584
States,Rhode Island,2010,49,42,21,6609
States,South Carolina,2010,49,29,20,5983
States,South Dakota,2010,49,64,19,5502
States,Tennessee,2010,49,122,50,11033
States,Texas,2010,49,1165,93,48474
States,Utah,2010,49,89,21,7640
States,Vermont,2010,49,48,14,4150
States,Virginia,2010,49,982,86,57786
States,Washington,2010,49,33,17,3421
States,West Virginia,2010,49,158,33,9957
States,Wisconsin,2010,49,70,46,5471
States,Wyoming,2010,49,20,27,4781
States,New York City,2010,49,2524,41,92454
States,Alabama,2010,50,1245,36,11930
States,Alaska,2010,50,21,9,1989
States,Arizona,2010,50,488,55,24178
States,Arkansas,2010,50,89,18,4227
States,California,2010,50,1170,128,31969
States,Colorado,2010,50,174,13,19299
States,Connecticut,2010,50,20,18,3033
States,Delaware,2010,50,12,13,4083
States,District of Columbia,2010,50,125,4,2886
States,Florida,2010,50,632,113,26563
States,Georgia,2010,50,2254,61,35755
States,Hawaii,2010,50,41,17,1632
States,Idaho,2010,50,54,12,3956
States,Illinois,2010,50,775,80,37787
States,Indiana,2010,50,98,41,10164
States,Iowa,2010,50,41,10,2736
States,Kansas,2010,50,84,41,9738
States,Kentucky,2010,50,77,13,12229
States,Louisiana,2010,50,450,34,13316
States,Maine,2010,50,20,29,5857
States,Maryland,2010,50,175,18,8713
States,Massachusetts,2010,50,316,55,28213
States,Michigan,2010,50,106,52,14027
States,Minnesota,2010,50,59,15,5081
States,Mississippi,2010,50,1529,48,17344
States,Missouri,2010,50,126,32,8936
States,Montana,2010,50,2,6,2588
States,Nebraska,2010,50,111,15,3429
States,Nevada,2010,50,440,33,10263
States,New Hampshire,2010,50,4,31,5640
States,New Jersey,2010,50,210,25,6561
States,New Mexico,2010,50,221,25,8115
States,New York,2010,50,357,102,13316
States,North Carolina,2010,50,119,74,18927
States,North Dakota,2010,50,6,11,1889
States,Ohio,2010,50,69,52,15455
States,Oklahoma,2010,50,111,17,3261
States,Oregon,2010,50,35,19,2509
States,Pennsylvania,2010,50,196,58,14447
States,Rhode Island,2010,50,30,21,6408
States,South Carolina,2010,50,41,17,5098
States,South Dakota,2010,50,51,19,5392
States,Tennessee,2010,50,121,51,8778
States,Texas,2010,50,1350,88,47519
States,Utah,2010,50,78,21,6993
States,Vermont,2010,50,50,14,3716
States,Virginia,2010,50,945,83,53894
States,Washington,2010,50,14,16,2162
States,West Virginia,2010,50,121,34,8545
States,Wisconsin,2010,50,31,50,4685
States,Wyoming,2010,50,15,28,4811
States,New York City,2010,50,3113,41,94881
States,Alabama,2010,51,1297,36,9910
States,Alaska,2010,51,15,8,1760
States,Arizona,2010,51,454,53,19716
States,Arkansas,2010,51,77,15,2132
States,California,2010,51,1057,127,22875
States,Colorado,2010,51,123,12,14757
States,Connecticut,2010,51,19,19,2175
States,Delaware,2010,51,13,11,2578
States,District of Columbia,2010,51,110,4,1907
States,Florida,2010,51,604,91,16469
States,Georgia,2010,51,2489,63,34195
States,Hawaii,2010,51,19,17,857
States,Idaho,2010,51,102,12,3182
States,Illinois,2010,51,1039,79,33621
States,Indiana,2010,51,100,41,7337
States,Iowa,2010,51,44,10,2123
States,Kansas,2010,51,75,42,7741
States,Kentucky,2010,51,148,14,11496
States,Louisiana,2010,51,588,25,15367
States,Maine,2010,51,25,30,4170
States,Maryland,2010,51,174,17,6355
States,Massachusetts,2010,51,268,49,20513
States,Michigan,2010,51,74,47,10820
States,Minnesota,2010,51,39,15,3853
States,Mississippi,2010,51,1775,45,16410
States,Missouri,2010,51,154,32,6573
States,Montana,2010,51,1,6,1602
States,Nebraska,2010,51,62,15,2792
States,Nevada,2010,51,495,37,14274
States,New Hampshire,2010,51,10,31,4110
States,New Jersey,2010,51,264,25,5685
States,New Mexico,2010,51,232,22,6800
States,New York,2010,51,388,103,10082
States,North Carolina,2010,51,107,68,11326
States,North Dakota,2010,51,4,11,1451
States,Ohio,2010,51,72,47,12037
States,Oklahoma,2010,51,85,17,2076
States,Oregon,2010,51,43,20,2087
States,Pennsylvania,2010,51,214,55,10680
States,Rhode Island,2010,51,38,21,4446
States,South Carolina,2010,51,31,17,3878
States,South Dakota,2010,51,69,19,4544
States,Tennessee,2010,51,145,49,6142
States,Texas,2010,51,1418,81,36611
States,Utah,2010,51,43,15,3883
States,Vermont,2010,51,45,13,2963
States,Virginia,2010,51,1260,89,57381
States,Washington,2010,51,6,17,1550
States,West Virginia,2010,51,87,32,7272
States,Wisconsin,2010,51,17,46,2451
States,Wyoming,2010,51,62,29,3798
States,New York City,2010,51,3819,41,89593
States,Alabama,2010,52,1274,38,10927
States,Alaska,2010,52,21,8,1857
States,Arizona,2010,52,344,69,22684
States,Arkansas,2010,52,61,16,2367
States,California,2010,52,916,125,19533
States,Colorado,2010,52,160,10,15093
States,Connecticut,2010,52,13,19,1523
States,Delaware,2010,52,19,14,3733
States,District of Columbia,2010,52,101,4,1475
States,Florida,2010,52,702,108,21954
States,Georgia,2010,52,2064,60,34013
States,Hawaii,2010,52,32,17,957
States,Idaho,2010,52,90,12,3464
States,Illinois,2010,52,1251,76,35224
States,Indiana,2010,52,136,41,7849
States,Iowa,2010,52,28,10,1923
States,Kansas,2010,52,81,38,5936
States,Kentucky,2010,52,134,14,14044
States,Louisiana,2010,52,1307,46,23212
States,Maine,2010,52,25,31,3877
States,Maryland,2010,52,199,16,5401
States,Massachusetts,2010,52,258,50,17670
States,Michigan,2010,52,83,48,9226
States,Minnesota,2010,52,34,15,3076
States,Mississippi,2010,52,1570,45,17379
States,Missouri,2010,52,181,32,6753
States,Montana,2010,52,3,5,1277
States,Nebraska,2010,52,85,14,2220
States,Nevada,2010,52,624,38,16055
States,New Hampshire,2010,52,8,30,3007
States,New Jersey,2010,52,199,25,4050
States,New Mexico,2010,52,259,23,6684
States,New York,2010,52,349,100,8311
States,North Carolina,2010,52,158,73,9938
States,North Dakota,2010,52,0,10,958
States,Ohio,2010,52,80,47,11091
States,Oklahoma,2010,52,142,17,2892
States,Oregon,2010,52,45,21,1959
States,Pennsylvania,2010,52,243,56,10188
States,Rhode Island,2010,52,44,21,3414
States,South Carolina,2010,52,57,19,4854
States,South Dakota,2010,52,67,19,4395
States,Tennessee,2010,52,188,50,6853
States,Texas,2010,52,1293,81,37950
States,Utah,2010,52,42,13,3853
States,Vermont,2010,52,63,15,3479
States,Virginia,2010,52,1466,86,61175
States,Washington,2010,52,30,15,1220
States,West Virginia,2010,52,103,31,7285
States,Wisconsin,2010,52,29,46,2089
States,Wyoming,2010,52,60,30,4099
States,New York City,2010,52,3625,40,82434
States,Alabama,2011,1,1191,37,12231
States,Alaska,2011,1,12,8,2025
States,Arizona,2011,1,411,70,25741
States,Arkansas,2011,1,122,15,3623
States,California,2011,1,1190,129,33407
States,Colorado,2011,1,199,12,21642
States,Connecticut,2011,1,25,19,2708
States,Delaware,2011,1,30,12,3827
States,District of Columbia,2011,1,143,4,3005
States,Florida,2011,1,757,115,30148
States,Georgia,2011,1,1723,63,35731
States,Hawaii,2011,1,48,18,1965
States,Idaho,2011,1,95,11,4659
States,Illinois,2011,1,1172,78,39188
States,Indiana,2011,1,168,41,9590
States,Iowa,2011,1,13,9,2245
States,Kansas,2011,1,101,43,9547
States,Kentucky,2011,1,135,15,10622
States,Louisiana,2011,1,922,40,21010
States,Maine,2011,1,31,30,6088
States,Maryland,2011,1,219,18,9645
States,Massachusetts,2011,1,328,51,27817
States,Michigan,2011,1,96,49,13973
States,Minnesota,2011,1,61,15,4450
States,Mississippi,2011,1,1139,47,16853
States,Missouri,2011,1,173,31,8134
States,Montana,2011,1,0,6,2164
States,Nebraska,2011,1,102,16,3393
States,Nevada,2011,1,588,39,19076
States,New Hampshire,2011,1,17,30,5171
States,New Jersey,2011,1,224,25,5667
States,New Mexico,2011,1,241,24,8157
States,New York,2011,1,352,101,12235
States,North Carolina,2011,1,289,73,18931
States,North Dakota,2011,1,4,9,1510
States,Ohio,2011,1,153,48,16724
States,Oklahoma,2011,1,100,17,3302
