REGION TYPE,REGION,YEAR,WEEK,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS,IS_IMPUTED
States,Minnesota,2010,42,33,17,6332,False
States,Mississippi,2010,42,534,45,17911,False
States,Missouri,2010,42,94,32,9496,False
States,Montana,2010,42,5,7,2690,False
States,Nebraska,2010,42,94,14,2839,False
States,Nevada,2010,42,171,34,11335,False
States,New Hampshire,2010,42,17,29,5790,False
States,New Jersey,2010,42,191,25,8496,False
States,New Mexico,2010,42,126,21,7523,False
States,New York,2010,42,53,95,14636,False
States,North Carolina,2010,42,116,71,25377,False
States,North Dakota,2010,42,32,20,5639,False
States,Ohio,2010,42,84,47,16044,False
States,Oklahoma,2010,42,70,18,3381,False
States,Oregon,2010,42,36,19,7425,False
States,Pennsylvania,2010,42,161,64,18273,False
States,Rhode Island,2010,42,25,21,6890,False
States,South Carolina,2010,42,28,22,7190,False
States,South Dakota,2010,42,43,18,5436,False
States,Tennessee,2010,42,61,50,12211,False
States,Texas,2010,42,1090,98,51887,False
States,Utah,2010,42,36,20,8171,False
States,Vermont,2010,42,45,11,3036,False
States,Virginia,2010,42,758,84,61855,False
States,Washington,2010,42,28,15,3096,False
States,West Virginia,2010,42,134,33,8777,False
States,Wisconsin,2010,42,69,43,5807,False
States,Wyoming,2010,42,23,28,5206,False
States,New York City,2010,42,1175,42,90998,False
States,Alabama,2010,43,274,36,12036,False
States,Alaska,2010,43,18,8,1860,False
States,Arizona,2010,43,233,52,26215,False
States,Arkansas,2010,43,12,14,2901,False
States,California,2010,43,666,130,34733,False
States,Colorado,2010,43,175,11,19238,False
States,Connecticut,2010,43,16,22,4797,False
States,Delaware,2010,43,19,14,4126,False
States,District of Columbia,2010,43,101,4,3241,False
States,Florida,2010,43,270,111,28596,False
States,Georgia,2010,43,881,60,36901,False
States,Hawaii,2010,43,27,18,1715,False
States,Idaho,2010,43,58,12,4531,False
States,Illinois,2010,43,623,79,42741,False
States,Indiana,2010,43,76,45,13079,False
States,Iowa,2010,43,9,10,4912,False
States,Kansas,2010,43,53,43,9850,False
States,Kentucky,2010,43,27,15,17987,False
States,Louisiana,2010,43,326,39,16904,False
States,Maine,2010,43,22,30,6501,False
States,Maryland,2010,43,146,20,11517,False
States,Massachusetts,2010,43,228,52,29092,False
States,Michigan,2010,43,152,51,16496,False
States,Minnesota,2010,43,42,18,6586,False
States,Mississippi,2010,43,538,47,17090,False
States,Missouri,2010,43,91,31,9482,False
States,Montana,2010,43,1,7,2748,False
States,Nebraska,2010,43,60,14,2916,False
States,Nevada,2010,43,241,34,11238,False
States,New Hampshire,2010,43,10,29,5593,False
States,New Jersey,2010,43,216,23,7734,False
States,New Mexico,2010,43,190,24,8068,False
States,New York,2010,43,53,98,14764,False
States,North Carolina,2010,43,136,74,26606,False
States,North Dakota,2010,43,18,20,5306,False
States,Ohio,2010,43,57,49,17298,False
States,Oklahoma,2010,43,48,18,2873,False
States,Oregon,2010,43,52,22,6917,False
States,Pennsylvania,2010,43,133,65,18442,False
States,Rhode Island,2010,43,22,21,6818,False
States,South Carolina,2010,43,31,22,7410,False
States,South Dakota,2010,43,44,19,5491,False
States,Tennessee,2010,43,51,52,12698,False
States,Texas,2010,43,1117,96,50622,False
States,Utah,2010,43,46,15,6085,False
States,Vermont,2010,43,47,11,3255,False
States,Virginia,2010,43,763,83,60125,False
States,Washington,2010,43,30,15,3141,False
States,West Virginia,2010,43,173,32,9549,False
States,Wisconsin,2010,43,53,46,5245,False
States,Wyoming,2010,43,22,27,4487,False
States,New York City,2010,43,1207,41,92678,False
States,Alabama,2010,44,342,35,12069,False
States,Alaska,2010,44,13,8,1901,False
States,Arizona,2010,44,312,55,26313,False
States,Arkansas,2010,44,57,19,5228,False
States,California,2010,44,887,131,35153,False
States,Colorado,2010,44,193,12,19862,False
States,Connecticut,2010,44,19,20,4789,False
States,Delaware,2010,44,9,14,4048,False
States,District of Columbia,2010,44,95,4,3176,False
States,Florida,2010,44,339,109,27677,False
States,Georgia,2010,44,1033,62,38891,False
States,Hawaii,2010,44,27,18,1522,False
States,Idaho,2010,44,88,13,4816,False
States,Illinois,2010,44,625,79,41966,False
States,Indiana,2010,44,107,42,12704,False
States,Iowa,2010,44,18,10,5017,False
States,Kansas,2010,44,49,43,10181,False
States,Kentucky,2010,44,38,15,13118,False
States,Louisiana,2010,44,492,39,17513,False
States,Maine,2010,44,9,29,5100,False
States,Maryland,2010,44,147,20,10111,False
States,Massachusetts,2010,44,225,53,27695,False
States,Michigan,2010,44,138,51,15983,False
States,Minnesota,2010,44,50,18,6205,False
States,Mississippi,2010,44,550,45,16390,False
States,Missouri,2010,44,100,31,8564,False
States,Montana,2010,44,1,7,2468,False
States,Nebraska,2010,44,11,14,2920,False
States,Nevada,2010,44,204,35,11541,False
States,New Hampshire,2010,44,17,30,5775,False
States,New Jersey,2010,44,113,25,6179,False
States,New Mexico,2010,44,151,20,6345,False
States,New York,2010,44,80,104,15170,False
States,North Carolina,2010,44,169,70,26003,False
States,North Dakota,2010,44,38,19,5324,False
States,Ohio,2010,44,149,48,17913,False
States,Oklahoma,2010,44,49,15,3009,False
States,Oregon,2010,44,57,22,7452,False
States,Pennsylvania,2010,44,181,66,18256,False
States,Rhode Island,2010,44,34,21,6412,False
States,South Carolina,2010,44,32,22,7186,False
States,South Dakota,2010,44,43,19,5514,False
States,Tennessee,2010,44,64,51,12119,False
States,Texas,2010,44,1218,99,51527,False
States,Utah,2010,44,54,23,8284,False
States,Vermont,2010,44,34,10,2714,False
States,Virginia,2010,44,729,84,57607,False
States,Washington,2010,44,24,15,3052,False
States,West Virginia,2010,44,196,34,10653,False
States,Wisconsin,2010,44,60,49,5472,False
States,Wyoming,2010,44,25,28,4412,False
States,New York City,2010,44,1325,42,87454,False
States,Alabama,2010,45,419,34,12102,False
States,Alaska,2010,45,19,8,1996,False
States,Arizona,2010,45,239,54,25282,False
States,Arkansas,2010,45,58,17,4844,False
States,California,2010,45,906,126,32998,False
States,Colorado,2010,45,139,12,19332,False
States,Connecticut,2010,45,14,19,4381,False
States,Delaware,2010,45,25,12,3146,False
States,District of Columbia,2010,45,69,4,2962,False
States,Florida,2010,45,315,113,26980,False
States,Georgia,2010,45,1390,62,40726,False
States,Hawaii,2010,45,19,18,1618,False
States,Idaho,2010,45,62,13,4149,False
States,Illinois,2010,45,651,80,41894,False
States,Indiana,2010,45,97,43,12898,False
States,Iowa,2010,45,21,10,5016,False
States,Kansas,2010,45,74,43,10207,False
